-183.271, 75.686, 1.585,  6.055
-183.265, 75.633, 1.593,  6.088
-183.259, 75.580, 1.600,  6.121
-183.253, 75.527, 1.608,  6.154
-183.247, 75.473, 1.615,  6.187
-183.242, 75.420, 1.623,  6.220
-183.236, 75.366, 1.630,  6.253
-183.230, 75.312, 1.637,  6.286
-183.224, 75.257, 1.645,  6.319
-183.218, 75.202, 1.652,  6.352
-183.212, 75.148, 1.659,  6.385
-183.206, 75.092, 1.667,  6.418
-183.200, 75.037, 1.674,  6.451
-183.194, 74.981, 1.681,  6.484
-183.188, 74.925, 1.688,  6.517
-183.182, 74.869, 1.695,  6.550
-183.176, 74.813, 1.703,  6.583
-183.170, 74.756, 1.710,  6.616
-183.164, 74.699, 1.717,  6.649
-183.158, 74.642, 1.724,  6.682
-183.152, 74.585, 1.731,  6.715
-183.146, 74.527, 1.738,  6.748
-183.140, 74.470, 1.745,  6.781
-183.134, 74.412, 1.752,  6.814
-183.129, 74.353, 1.759,  6.847
-183.123, 74.295, 1.766,  6.880
-183.117, 74.236, 1.773,  6.913
-183.111, 74.177, 1.780,  6.946
-183.105, 74.118, 1.787,  6.979
-183.099, 74.058, 1.794,  7.012
-183.093, 73.999, 1.801,  7.045
-183.087, 73.939, 1.808,  7.078
-183.081, 73.879, 1.815,  7.111
-183.076, 73.818, 1.822,  7.144
-183.070, 73.758, 1.829,  7.177
-183.064, 73.697, 1.836,  7.210
-183.058, 73.636, 1.843,  7.243
-183.052, 73.574, 1.849,  7.276
-183.046, 73.513, 1.856,  7.309
-183.041, 73.451, 1.863,  7.342
-183.035, 73.389, 1.870,  7.375
-183.029, 73.327, 1.877,  7.408
-183.023, 73.264, 1.884,  7.441
-183.018, 73.202, 1.891,  7.474
-183.012, 73.139, 1.898,  7.507
-183.006, 73.075, 1.904,  7.540
-183.000, 73.012, 1.911,  7.573
